title,notes

005,"19 agosto 1979, sera, 18:00
Vera era stanca.
Alla Rome Baking c’era stato parecchio movimento quel giorno e la sola idea di dover entrare in un supermercato affollato la irritava. Aveva anche litigato con sua figlia Debra che era arrivata in ritardo di mezz’ora per sostituirla alla cassa della bakery. Da quando usciva con quel Seiler – come si chiamava? John, forse – era impossibile discutere con Debbie, si comportava come una quattordicenne alla prese con il primo amore: testarda, capricciosa e irritabile con tutti.
Vera diede un’occhiata veloce al parcheggio del supermercato: c’erano parecchie macchine e questo bastò per convincerla a non entrare neanche, dopotutto poteva tranquillamente propinare al marito e ai figli gli avanzi del giorno prima. No, decisamente non aveva voglia di fare la spesa. Girò la macchina e tornò verso il centro.
Si rese conto di desiderare una sigaretta ma si ricordò di aver fumato l’ultima dopo pranzo. La tabaccheria in centro era ancora aperta, bene! Vera parcheggiò ed entrò nel negozietto.
«Vera!» una voce squillante risuonò per tutta la stanza. Vera si girò e vide sua sorella Barbara. «Allora, come stanno andando le cose alla bakery?» chiese Barbara stringendo fra le mani la sua tazza di tè.
«Bene! Gli affari vanno a gonfie vele e, per fortuna, quelli della 5th Street Baking non mi portano via tutti i clienti», arrossì leggermente ricordando lo sguardo di James Walter, ma la sorella non se ne accorse e attribuì quel rossore al tè troppo caldo che Vera stava sorseggiando.
«E con Edward come vanno le cose?»
«Lavora tanto, non usciamo mai e quando torna a casa spesso si addormenta sul divano senza neanche togliersi le scarpe.  
 Poveretto, si spacca la schiena alla miniera tutto il giorno» nella sua voce si udì chiaramente una nota amara.
Le due donne stettero in silenzio per pochi secondi, guardando fuori dalla vetrina le automobili che passavano. «Mami!» squittì una vocina femminile. Vera sobbalzò e si voltò.
«Ciao Jennifer, come stai? Vieni qui ad abbracciarmi!»
«Ti abbiamo vista dalla strada, Vera. Jennifer ha insistito perché la lasciassi a te, altrimenti io l’avrei portata a casa senza problemi, però temo che non le piaccia troppo come guido, il suo viso era verde fino a un minuto fa» disse Jackie Groenke ridacchiando, teneva per mano sua figlia Kelly, una bambinetta della stessa età di Jennifer.
«Non preoccuparti, Jennifer soffre la macchina perfino quando è parcheggiata. Grazie mille per essere andato a riprenderle dal campeggio, Jackie, sei stato gentilissimo! Una sera di queste venite tutti a cena a casa mia, mi farebbe molto piacere» disse Vera sorridendogli.
«Volentieri!»
Kelly iniziò a tirare la mano del padre: voleva andare a casa. Jackie salutò Vera, Barbara, la piccola Jennifer e uscì dalla caffetteria.
«Allora Jenny, come sono andate queste due settimane di campeggio?» chiese Vera alla bambina.
Jennifer, presa da un’ondata di euforia, iniziò a raccontare tutto quello che aveva fatto al campeggio: i laboratori di creatività, le gite in montagna e le visite all’agriturismo del paese.
Aveva fatto amicizia con molte bambine della sua età e fatto tante foto per conservare questi bei ricordi.
Solo una cosa rese istantaneamente la piccola Jennifer malinconica e triste. Durante una delle gite la bambina era rimasta impigliata ad un ramo e il braccialetto che la nonna le aveva regalato poco prima di morire si era rotto in mille pezzi. La tristezza di Jennifer fu subito evidente agli occhi di sua madre che le diede qualche parola di conforto mentre si incamminarono verso la via di casa."

006,"19 agosto 1979, sera, 18:00
Vera era stanca.
Alla Rome Baking c’era stato parecchio movimento quel giorno e la sola idea di dover entrare in un supermercato affollato la irritava. C’erano troppe macchine. No, decisamente non aveva voglia di fare la spesa. La famiglia avrebbe mangiato avanzi, quella sera!
Girò la macchina e tornò verso il centro. Vide la tavola calda ancora aperta, lì vendevano anche tabacchi; si rese conto di aver fumato l’ultima dopo pranzo. Vera parcheggiò ed entrò nel locale.
«Vera!» una voce squillante risuonò per tutta la stanza. Vera si girò e vide sua sorella Barbara. «Allora… come stanno andando le cose alla bakery? Edward come sta?» chiese Barbara stringendo fra le mani la sua tazza di tè.
«Bene! Gli affari vanno a gonfie vele e quelli della 5th Street Baking non mi portano via tutti i clienti». Arrossì leggermente ricordando lo sguardo di James Walter, ma la sorella non se ne accorse. «Edward lavora tanto. Non usciamo mai, e, quando torna a casa, spesso si addormenta sul divano, senza neanche togliersi le scarpe. Poveretto, si spacca la schiena alla miniera tutto il giorno». C’era una nota amara nella sua voce.
«Mami!» squittì una vocina femminile. Vera sobbalzò.
«Jennifer, bimba mia! Sei tornata!» esclamò Vera.
Jackie Groenke aveva lasciato entrare Jennifer e teneva per mano la sua figlioletta Kelly.
«Ti abbiamo vista dalla strada. Jennifer ha insistito perché la lasciassi a te, altrimenti l’avrei portata a casa senza problemi. Però temo che non le piaccia troppo come guido: il suo viso era verde fino a un minuto fa».
«Non preoccuparti, Jennifer soffre la macchina perfino quando è parcheggiata. Grazie mille per essere andato a riprenderle dal campeggio, Jackie, sei stato gentilissimo!»
Kelly iniziò a tirare la mano del padre: voleva andare a casa. Jackie ebbe appena il tempo di salutare e andò via.
«Allora Jenny, come sono andate queste due settimane di campeggio?» chiese Vera alla bambina.
«Oh mamma, sono felicissima. Sono state due settimane stupende. Grazie per avermi permesso di andare, non vedo l’ora di vedere di raccontarvi tutto!».
I suoi occhi erano raggianti, quanto era cresciuta in sole due settimane… era ancora la sua piccola? «Ma dimmi, vogliamo fare un po’ di chiacchiere tra noi ragazze intanto?» disse Vera, stringendo l’occhiolino complice alla sorella.
«Ok… Promettetemi di non prendermi in giro però!»
Venne fuori che al campeggio Jennifer aveva preso la sua prima cotta per un bambino più grande: Timothy Leazer. Era questa la causa della sua euforia. Nel sentire le parole della figlia, Vera si sentì colma di orgoglio. Istintivamente il suo pensiero tornò a James, ai loro sguardi che si incrociano, d’altronde: tale madre tale figlia."

007,"19 agosto 1979, sera, 18:00
Vera era stanca.
Alla Rome Baking c’era stato parecchio movimento quel giorno e la sola idea di dover entrare in un supermercato affollato la irritava. C’erano troppe macchine. No, decisamente, non aveva voglia di fare la spesa. La famiglia avrebbe mangiato avanzi quella sera!
Girò la macchina e tornò verso il centro. Vide la tavola calda ancora aperta, lì vendevano anche tabacchi; si rese conto di aver fumato l’ultima dopo pranzo. Vera parcheggiò ed entrò nel locale.
«Vera!» una voce squillante risuonò per tutta la stanza. Vera si girò e vide sua sorella Barbara. «Allora… come stanno andando le cose alla bakery? Edward come sta?» chiese Barbara stringendo fra le mani la sua tazza di tè.
«Bene! Gli affari vanno a gonfie vele e quelli della 5th Street Baking non mi portano via tutti i clienti». Arrossì leggermente ricordando lo sguardo di James Walter, ma la sorella non se ne accorse. «Edward lavora tanto. Non usciamo mai, e, quando torna a casa, spesso si addormenta sul divano, senza neanche togliersi le scarpe. Poveretto, si spacca la schiena alla miniera tutto il giorno» c’era una nota amara nella sua voce.
«Mami!» squittì una vocina femminile. Vera sobbalzò.
«Jennifer, bimba mia! Sei tornata!» esclamò Vera.
Jackie Groenke aveva lasciato entrare Jennifer e teneva per mano sua figlioletta Kelly.
«Ti abbiamo vista dalla strada. Jennifer ha insistito perché la lasciassi a te, altrimenti l’avrei portata a casa senza problemi, però temo che non le piaccia troppo come guido, il suo viso era verde fino a un minuto fa».
«Non preoccuparti, Jennifer soffre la macchina perfino quando è parcheggiata. Grazie mille per essere andato a riprenderle dal campeggio, Jackie. Sei stato gentilissimo!»
Kelly iniziò a tirare la mano del padre: voleva andare a casa. Jackie ebbe appena il tempo di salutare e andò via.
«Allora Jenny, come sono andate queste due settimane di campeggio?» chiese Vera alla bambina.
Vera e Jennifer tornarono a casa in auto e la bambina non smise di parlare del campeggio. Lei e i suoi amici avevano fatto un sacco di giochi, cantato intorno al falò e arrostito i marshmallow.
Erano andati anche in un grande prato a raccogliere fiori con il quale Jennifer aveva fatto una collana per la madre, che sorrise, nonostante fossero un po’ appassiti. La sua Jennifer riusciva sempre a farla sorridere, anche dopo una giornata stancante."

008,"20 Agosto 1979, notte, 01:00
Leo Proust, stava tornando a casa dopo una lunga e stressante giornata di lavoro. Quella volta era stata particolarmente dura alla «5th Street Coal Mine».
Quel giorno aveva avuto un duro scontro con il suo titolare Lew Britting. Leo ci lavorava fianco a fianco dal 1954. I due avevano litigato aspramente riguardo all’aumento degli stipendi richiesto mesi prima dai minatori. Leo si era battuto in prima linea per i suoi colleghi, ma il capo non ne voleva proprio sentir parlare e quel giorno i toni si erano alzati anche più del dovuto.
Leo non ci voleva pensare in quel momento, stava guidando la sua Oldsmobile 88 del 1973 e voleva rilassarsi con un po’ di musica. Accese l’autoradio e subito partì una canzone che conosceva bene: “I, I wish you could swim. Like the dolphins, like the dolphins can swim.”
Subito Leo la riconobbe, in fin dei conti era uno dei suoi cantanti preferiti ovvero il trentaquattrenne David Bowie. “Heroes”, così si chiamava la canzone, era uscita un paio di anni prima e l’ingegnere la riteneva un capolavoro contemporaneo.
“We can be heroes, just for one day.”
Quel ritornello gli faceva pensare a tanti eroi della sua epoca, scomparsi tragicamente: come il reverendo Martin Luther King, assassinato poco più di dieci anni prima, o come il consigliere comunale di San Francisco Harvey Milk, ucciso neanche 9 mesi prima.
Due persone che come lui si erano battute per aiutare gli altri, ma quella sera Leo si sentiva tutto tranne che un eroe, visto che aveva perso la battaglia per i suoi colleghi.
La moglie Joy ed i quattro figli stavano già dormendo, stava per ritirarsi a dormire, quando il telefono squillò, prese la cornetta in cucina e rispose. Era il suo capo. Subito Leo pensò che stava per essere licenziato, ma a sorpresa il capo non prese provvedimenti ed anzi gli disse che aveva accettato di aumentare lo stipendio dei minatori.
Mr. Proust era euforico e voleva festeggiare, si versò un bicchiere di whiskey e prese uno dei suoi sigari migliori. Si recò in veranda e si mise a godersi quel momento. Era ormai a metà del sigaro, quando vide arrivare dal cortile la sua amica dai tempi del liceo, nonché il suo più grande amore. Vera Rome.
Aveva sempre amato alla follia quella ragazza, ma purtroppo per lui quel sentimento non era mai stato ricambiato. Vera si precipitò da lui sconvolta e quasi in lacrime.
L: «Che è successo Vera?»
V: «Jennifer è appena tornata dal campo estivo»
L: «E’ una buona cosa, no?»
V: «Sì, cioè no; vedi, le è successa una brutta cosa mentre era via, ma non voglio pensarci»
Una lacrima scese dagli occhi di Vera passando per gli occhiali e scivolando sulle lentiggini, che le riempivano il volto, come le stelle riempiono il cielo.
Subito Leo la abbracciò calorosamente ed iniziò a consolarla, dopodiché la donna lo guardò in un modo che non aveva mai visto in quasi trent’anni di amicizia, e senza proferire parola lo baciò teneramente e passionalmente.
Perché, a volte, “Si può essere eroi, anche per solo un giorno.”"

009,"19 agosto 1979, sera, 23:00
Barbara uscì dal retro del ristorante a notte fonda assieme a Bernard, chiacchierando sul fatto che il Qimonk, almeno quella sera, doveva aver avuto molti meno clienti di loro. Il turno al ristorante, infatti, era stato terribile, molto più del solito. Salutò il collega e salì in macchina, dirigendosi verso casa. Aveva aperto il finestrino, le mani e le braccia sostenute dal volante, e sul sedile a fianco il nuovo disco da regalare a suo figlio James: Unknown Pleasures, primo album di un gruppo che lei non conosceva ma che lui le aveva chiesto con entusiasmo. Sperando di non essersi confusa e di non aver sbagliato l’ennesimo regalo svoltò l’angolo del suo piccolo vialetto, notando i faretti spenti: suo marito Earnest doveva essere appena andato al lavoro.
Avevano litigato negli ultimi giorni, il processo contro il suo ex-marito James era stato pesante per entrambi, e Earnest diceva che si sarebbe dovuta occupare di più di Valerie, che lui era affezionato ai figliastri quanto lei, ma che stava esagerando. Dopo qualche tempo e molti processi, il giudice era arrivato finalmente ad una sentenza, e la ragione era stata data a Barbara. James doveva dare un assegno di mantenimento alla famiglia e poteva vedere i figli solo la domenica. Barbara e Earnest avevano speso molto tempo e denaro per colpa di questo processo e, tutto sommato, il risultato ne era valso lo sforzo. Anche se qualcosa impensieriva la mente della donna: il rapporto con il nuovo marito decollava a fatica e era ormai certa che i suoi figli sarebbero cresciuti non insieme al loro vero padre."

010,"19 agosto 1979, sera, 18:00
Vera era stanca.
Alla Rome Baking c’era stato parecchio movimento quel giorno e la sola idea di dover entrare in un supermercato affollato la irritava. C’erano troppe macchine. No, decisamente non aveva voglia di fare la spesa. La famiglia avrebbe mangiato avanzi quella sera!
Girò la macchina e tornò verso il centro. Vide la tavola calda ancora aperta, lì vendevano anche tabacchi; si rese conto di aver fumato l’ultima sigaretta dopo pranzo. Vera parcheggiò ed entrò nel locale.
«Vera!» una voce squillante risuonò per tutta la stanza. Vera si girò e vide sua sorella Barbara. «Allora… come stanno andando le cose alla bakery? Edward come sta?» chiese Barbara stringendo fra le mani la sua tazza di tè.
«Bene! Gli affari vanno a gonfie vele e quelli della 5th Street Baking non mi portano via tutti i clienti». Arrossì leggermente ricordando lo sguardo di James Walter, ma la sorella non se ne accorse. «Edward lavora tanto. Non usciamo mai, e, quando torna a casa, spesso si addormenta sul divano, senza neanche togliersi le scarpe. Poveretto, si spacca la schiena alla miniera tutto il giorno». C’era una nota amara nella sua voce.
«Mami!» squittì una vocina femminile. Vera sobbalzò.
«Jennifer, bimba mia! Sei tornata!» esclamò Vera.
Jackie Groenke aveva lasciato entrare Jennifer e teneva per mano la sua figlioletta Kelly.
«Ti abbiamo vista dalla strada. Jennifer ha insistito perché la lasciassi a te, altrimenti l’avrei portata a casa senza problemi, però temo che non le piaccia troppo come guido; il suo viso era verde fino a un minuto fa».
«Non preoccuparti, Jennifer soffre la macchina perfino quando è parcheggiata. Grazie mille per essere andato a riprenderle dal campeggio, Jackie, sei stato gentilissimo!»
Kelly iniziò a tirare la mano del padre: voleva andare a casa. Jackie ebbe appena il tempo di salutare e andò via.
«Allora Jenny, come sono andate queste due settimane di campeggio?» chiese Vera alla bambina.
«Non è andata molto bene, in realtà» piagnucolò. Jennifer le raccontò di aver portato al campeggio la collanina d’oro che le aveva regalato nonna, per mostrarla alle amichette. Un giorno però la collanina, che Jenny era solita riporre in una scatola, era scomparsa. La bambina si era disperata a tal punto da chiedere alle animatrici di perquisire tutti i bambini, ma la collanina non era stata trovata.
«Me l’aveva regalata nonna, ci tenevo tantissimo! E me l’hanno rubata!»
Al solo ricordo di quell’avvenimento la bambina iniziò a pestare i piedi e a strillare, era disperata. Vera abbracciò la figlia per calmarla ma non ci riuscì, Jenny continuò a piangere finché non arrivarono a casa. «Mi hanno rovinato la vacanza, mamma!»"

011,"19 agosto 1979, sera, 23:00
Barbara uscì dal retro del ristorante a notte fonda assieme a Bernard, chiacchierando sul fatto che il Qimonk, almeno quella sera, doveva aver avuto molti meno clienti di loro. Il turno al ristorante, infatti, era stato terribile, molto più del solito. Salutò il collega e salì in macchina, dirigendosi verso casa. Aveva aperto il finestrino, le mani e le braccia sostenute dal volante, e sul sedile a fianco il nuovo disco da regalare a suo figlio James: Unknown Pleasures, primo album di un gruppo che lei non conosceva, ma che lui le aveva chiesto con entusiasmo. Sperando di non essersi confusa e di non aver sbagliato l’ennesimo regalo, svoltò l’angolo del suo piccolo vialetto, notando i faretti spenti: suo marito Earnest doveva essere appena andato al lavoro.
Avevano litigato negli ultimi giorni. Il processo contro il suo ex-marito James era stato pesante e l’atmosfera non era delle più rosee. Earnest diceva che anche lui era affezionato ai figliastri, ma lei non doveva trascurare così tanto Valerie. Forse era vero, ma negli ultimi tempi il processo le aveva prosciugato le energie. Alla fine però Barbara era riuscita ad ottenere quello che voleva: James avrebbe avuto i bambini per sé solo un week-end ogni due e una settimana durante le festività natalizie. Fortunatamente, l’affidamento congiunto era stato scongiurato, ma d’altronde come poteva un uomo come James prendersi cura dei ragazzi, se tutto il giorno doveva dormire e a stento cucinava qualcosa per sé stesso? Un uomo come lui, che ancora pensava di avere 25 anni…
La tensione e lo stress provati in quegli ultimi giorni l’avevano sfinita ed ora non aveva nemmeno voglia di mangiare. Rientrata in casa si sdraiò sul divano e chiamò suo fratello Mike per confidarsi con lui; ma Mike sembrava molto più interessato a parlare delle proprie avventure amorose."

012,"19 agosto 1979, sera, 23:00
Barbara uscì dal retro del ristorante a notte fonda assieme a Bernard, chiacchierando sul fatto che il Qimonk, almeno quella sera, doveva aver avuto molti meno clienti di loro. Il turno al ristorante, infatti, era stato terribile, molto più del solito. Salutò il collega e salì in macchina, dirigendosi verso casa. Aveva aperto il finestrino, le mani e le braccia sostenute dal volante, e sul sedile a fianco il nuovo disco da regalare a suo figlio James: Unknown Pleasures, primo album di un gruppo che lei non conosceva, ma che lui le aveva chiesto con entusiasmo. Sperando di non essersi confusa e di non aver sbagliato l’ennesimo regalo, svoltò l’angolo del suo piccolo vialetto, notando i faretti spenti: suo marito Earnest doveva essere appena andato al lavoro. Avevano litigato negli ultimi giorni, il processo contro il suo ex-marito James era stato pesante per entrambi, e Earnest diceva che si sarebbe dovuta occupare di più di Valerie, che lui era affezionato ai figliastri quanto lei, ma che ora stava esagerando. Forse era vero, ma da quando il processo era terminato Barbara non si dava pace. L’affidamento congiunto era stata una vera ingiustizia. Come poteva un uomo come James prendersi cura dei ragazzi, se tutto il giorno doveva dormire e a stento cucinava qualcosa per sé stesso? Un uomo come lui, che ancora pensava di avere 25 anni…
Ma forse era questo il problema, i figli preferivano lui per questo motivo, mentre con lei certi divertimenti erano proibiti, come diceva il titolo dell’album. La rabbia provata in quegli ultimi giorni e lo stress dell’organizzazione con l’avvocato per il ricorso la rendevano intrattabile, non aveva nemmeno voglia di mangiare. Rientrata in casa si sdraiò sul divano e chiamò suo fratello Mike per sfogarsi, ma lui le raccontò di nuovo delle sue intricate avventure amorose…"

